header,description,platforms
LfoUploadDataUnneeded,"Emitted when the sensor initiates a file upload, but the cloud has determined the file is not needed. A specific cloud reason will be provided in LfoUploadCloudStatus.","Windows, macOS, Linux, Android, Kubernetes, Vmcluster"
LfoUploadDataComplete,Emitted when the LFOUploadActor has successfully uploaded a file to the cloud.,"Windows, macOS, Linux, Android, Kubernetes, Vmcluster"
LfoUploadDataFailed,Emitted when the sensor has detected error(s) and has decided not to stop uploading a file to the cloud. LfoUploadExtendedStatus will indicate the detailed failure reason.,"Windows, macOS, Linux, Android, Kubernetes, Vmcluster"
ProvisioningChannelVersionRequired,This event informs the cloud about the state of a channel on the sensor during provisioning. It is only sent when the sensor is in an unprovisioned state.,"Linux, Falcon Container, macOS, Windows, iOS, Android"
LfoUploadStart,Emitted when the sensor initiates a file upload.,"Windows, macOS, Linux, Android, Kubernetes, Vmcluster"
NetworkListenIP4,This event is generated when an application establishes a socket in listening mode This event is generated when an application establishes a socket in listening mode.,"Windows, macOS, Android, Linux, Falcon Container, Forensics, ChromeOS"
NetworkConnectIP6,"This event is created whenever an application using a connection-oriented protocol attempts a remote connection (e.g., via a call to the connect() function) or a connectionless protocol first attempts to transmit a message (e.g., via a call to the sendto() function). This event is generated when an application attempts a remote connection.","Windows, macOS, Android, iOS, Forensics, ChromeOS, Linux, Falcon Container"
NetworkReceiveAcceptIP4,"This event is generated when an application using a connection-oriented protocol attempts to accept a remote connection request (e.g., via a call to the accept() function) or a connectionless protocol attempts to process the first datagram received.","Windows, macOS, Android, Linux, Falcon Container, Forensics"
NetworkReceiveAcceptIP6,"This event is created whenever an application using a connection-oriented protocol attempts to accept a remote connection request (e.g., via a call to the accept() function) or a connectionless protocol attempts to process the first datagram received.","Windows, macOS, Android, Linux, Falcon Container, Forensics"
NetworkCloseIP4,"An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. IPv4 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 5 minutes using UDP. IPv4 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 2 minutes using UDP.IPv4 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state.","Windows, Android, Forensics, macOS, Linux, Falcon Container"
NetworkConnectIP4,This event is generated when an application attempts a remote connection.,"Windows, macOS, Android, iOS, Linux, Falcon Container, Forensics, ChromeOS"
NetworkListenIP6,"This event is created whenever an application using a connection-oriented protocol establishes a socket in listening mode (e.g., via a call to the listen() function).","Windows, macOS, Android, Linux, Falcon Container, Forensics, ChromeOS"
FirewallSetRuleIP6,An event that indicates an IPv6 firewall rule has been created. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirewallDeleteRuleIP4,An event that notifies that an Ipv4 firewall rule has been deleted. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirewallDeleteRuleIP6,An event that notifies that an Ipv6 firewall rule has been deleted. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirewallSetRuleIP4,An event that indicates an IPv4 firewall rule has been created. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
NetworkCloseIP6,"An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 2 minutes using UDP. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 5 minutes using UDP. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state. An event that is generated by an application using a connection-oriented or connectionless protocol attempts to set the socket to the closed state. This event is also generated when a session is inactive for 10 minutes using UDP. IPv6 is the source of the connection/connectionless protocol in this event. Note: this event does not guarantee the communication between the two endpoints has ceased, but that a single socket has entered the closed state.","Linux, Falcon Container, Windows, Forensics, macOS, Android"
NetworkConnectIP4Blocked,This event is created whenever a NetworkConnectIP4 event is blocked. This event is created whenever a NetworkConnectIP4 event is blocked because of the IP or the domain/URL being accessed.,"Windows, Android, macOS, iOS"
NetworkConnectIP6Blocked,This event is created whenever a NetworkConnectIP6 event is blocked. This event is created whenever a NetworkConnectIP6 event is blocked because of the IP or the domain/URL being accessed. Fields: Android,"Android, Windows, macOS, iOS"
NetworkConnectIP4DetectInfo,This event is sent whenever a connection to malicious IP4 address is detected. Fields: Android,"Android, iOS"
NetworkConnectIP6DetectInfo,This event is sent whenever a connection to malicious IP6 address is detected. Fields: Android,"Android, iOS"
RemediationActionKillIP4Connection,Sensor attempted to kill a connection to a malicious IPv4 address. No further data will be sent or received on the connection. Fields: Android,"Android, iOS"
RemediationActionKillIP6Connection,Sensor attempted to kill a connection to a malicious IPv6 address. No further data will be sent or received on the connection. Fields: Android,"Android, iOS"
CreateSocket,This event is created whenever a process creates a socket.,"Linux, Falcon Container, Forensics"
NetworkOutboundPortScanDetectInfo,,Windows
RawBindIP6,"IPv6 network binding event. Terminating socket is in raw mode. An event that is created when an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). It is a more specific version of the event NetworkBindIP6 indicating a socket is in raw mode. IPv6 is the source of the connection/connectionless protocol in this event. A NetworkBindIP6 event is created whenever an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). The event's ConnectionFlags field describes the parameters of that bind operation. A socket that is bound has not performed any network activity per se. Only a subsequent call to listen() or connect() generates network activity through the bound socket. The attributes of the bind, such as promiscuous mode or raw socket, are available in the ConnectionFlags field. Fields: Forensics","Forensics, Linux, Falcon Container, Android, macOS, Windows"
RawBindIP4,"IPv4 network binding event. Terminating socket is in raw mode. An event that is created when an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). It is a more specific version of the event NetworkBindIP4 indicating a socket is in raw mode. IPv4 is the source of the connection/connectionless protocol in this event. A NetworkBindIP4 event is created whenever an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). The event's ConnectionFlags field describes the parameters of that bind operation. A socket that is bound has not performed any network activity per se. Only a subsequent call to listen() or connect() generates network activity through the bound socket. The attributes of the bind, such as promiscuous mode or raw socket, are available in the ConnectionFlags field. Fields: Forensics","Forensics, Android, Windows, macOS, Linux, Falcon Container"
NewScriptWritten,"Emitted when a process is done writing a script file, as determined by #! at the start of the file. This event is generated when a new script is written (e.g. .js, .aspx, .bat, .ps1, .vbs, .lua).","Linux, macOS, Windows"
PatternHandlingError,This event is emitted when an error occurs in processing a behavior.,"Windows, macOS, Linux, Falcon Container"
ProcessPatternTelemetry,,"Windows, macOS, Linux"
ActiveDirectoryIncomingPsExecExecution2,"Indicates remote code execution on a domain controller using PsExec. This event is generated based on a REMOTE_INTERACTIVE type ActiveDirectoryIncomingDceRpcEpmRequest event that correlates with an ActiveDirectoryServiceAccessRequest event to the Common Internet File System (CIFS) or a host Service Principal Name (SPN). This event replaces the ActiveDirectoryIncomingPsExecExecution event, which is now obsolete.",Windows
IdpPolicyAlertRuleMatch,Fields: Public Cloud,Public Cloud
BrowserInjectedThread,Indicates a browser process injected a thread into some other process.,Windows
KernelCallbackTableUpdate,An event that indicates that the ProcessEnvironmentBlock KernelCallbackTable field has been changed from its prior value. This might indicate an attempt to alter one of the callback routines.,"Windows, Windows"
FileDetectInfo,,"Linux, macOS, Windows"
IdpPolicyFederatedAccessRuleMatch,Fields: Public Cloud,Public Cloud
BootLoopProtectionTelemetry,,Windows
LightningUnresponsiveStatus,,"Windows, macOS"
AndroidEnterpriseInfo,This event contains metadata related to the state of the device as reported by the Android Management API (AMAPI). Fields: Android,Android
InjectedThread,"This event is generated when one process injects an execution thread into another process. While often associated with malicious activity, this is also common behavior for certain core operating system processes.",Windows
JavaInjectedThread,This event is generated when Java injects a thread into another process.,Windows
DocumentProgramInjectedThread,Indicates a document program process injected a thread into some other process.,Windows
ActiveDirectoryAuthenticationFailure,Indicates that the Domain Controller handled one or more failed authentications by an account on an endpoint.,Windows
ActiveDirectoryInteractiveDomainLogon,Indicates an interactive logon to an Active Directry domain handled by a Domain Controller. The interactive logon is combined of initial authentication following by some service access events.,Windows
SetWindowsHook,An event that is sent from the sensor when a user mode program attempts to set a windows hook.,Windows
ScriptControlDetectInfo,This event is sent when Falcon has detected malicious script content being executed on the host. This event provides the details of exactly what content was detected.,"macOS, Linux, Windows"
ActiveDirectoryAuthentication,Indicates that the Domain Controller handled one or more successful authentications by an account on an endpoint.,Windows
ActiveDirectoryServiceAccessRequestFailure,Indicates that the Domain Controller handled one or more failed service requests from an account on an endpoint. The requests were to a service identified by an Active Directory account.,Windows
CloudAssociateTreeIdWithRoot,This event is generated when there is a detection in the CrowdStrike cloud. This event has a data field called PatternId which contains a pattern ID. Pattern IDs are associated with a detection.,"Windows, Linux, Falcon Container, macOS, ChromeOS"
K8SProductConfig,Fields: Kubernetes,Kubernetes
IdpTelemetryData,,Windows
IdpPacketDiversionLdapsConnectionsOverloadNotification,,Windows
DataProtectionArchiveAssessed,Describes an archive processed by Data Protection assessment. Top level event fields are properties of enclosing archive file (e.g. Size),"Windows, macOS"
FileTimestampsModified,An event that is emitted when a change occurs to the timestamps of a file.,"Windows, Linux, Falcon Container"
VMClusterInfo,Event sent periodically to let the cloud know that the sensor is running with the following VM cluster data. Fields: Vmcluster,Vmcluster
VmcSensorStatus,This event is sent to provide VMC sensor operational status. Fields: Vmcluster,Vmcluster
VmcVmAsset,This event is sent to provide VMware vCenter VM information. Fields: Vmcluster,"Vmcluster, Windows"
InboundHttpParsingStatus,,"Windows, macOS, Linux"
InstalledBrowserExtension,"An event that contains information about installed browser extensions, including updates and removals. The event is sent when the sensor connects and every 48 hours thereafter. If no browser extensions are identified, a default event indicating no-extension-available is sent to the CrowdStrike cloud.","Windows, macOS"
BrowserExtensionStatus,,"macOS, Windows, macOS, Linux, Falcon Container, Windows Legacy"
AssociateIndicator,"This event is generated when the sensor generates an indicator. An indicator is like a detection event (AssociateTreeIdWithRoot) except that it is not necessarily malicious, either because it is just an indicator (e.g. when a process opens the Recycle Bin) or because CrowdStrike is not yet confident enough in the indicator to trigger it as a detection. Note that a detection, unlike an indicator, establishes a detection tree (AssociateTreeIdWithRoot) which causes the sensor to send additional information for that process tree for analysis/hunting purposes. An indicator is just a single event that has no other sensor impact.","Windows, Linux, Falcon Container, macOS"
FirewallRuleIP6Matched,"An event that indicates that a firewall rule has matched an IPv6 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match. An event that indicates that a firewall rule has matched an IPv6 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match.","Windows, macOS, Linux"
FirewallRuleIP4Matched,"An event that indicates that a firewall rule has matched an IPv4 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match. An event that indicates that a firewall rule has matched an IPv4 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match.","Windows, macOS, Linux"
NamedMutantHandleClosedTelemetry,An event that indicates that a process closed a handle to a known bad named mutex.,"Windows, Windows"
ProcessControl,,"Linux, Falcon Container"
ClassifiedModuleLoad,"The ClassifiedModuleLoad event provides information about a module which has been loaded into a process's memory space. It is only generated for 'classified' module loads, that is module loads that are interesting enough for us to cloud.",Windows
ProcessExecOnPackedExecutable,An event that contains telemetry data emitted on execution of a PE file which is known to be packed. The packer type is indicated by the FileSubType field.,Windows
IdpCloudHealthConfigurationsGetResponse,,Windows
ModuleDetectInfo,This event identifies a scenario that would be a blocking prevention if more rigorous settings were active.,"macOS, Linux, Falcon Container, Windows"
AppSideLoaded,An event that contains the package name and installer info of the app that has been installed outside of the Google PlayStore. Fields: Android,Android
MobileAppIdentifiers,An event that describes details about a mobile application package. Fields: Android,Android
RegValueQueryDetectInfo,,Windows
WmiQueryDetectInfo,,Windows
DriverLoadedV2DetectInfo,,"Windows, Windows"
DotnetModuleLoadDetectInfo,,Windows
PtTelemetry,,Windows
ModuleLoadV3DetectInfo,Additional information for detections from the Module Load V3 template.,Windows
IdpDcTiConfiguration,,Windows
SmbServerShareOpenedEtw,An event that indicates a remote machine opening a local share. This event is supported on all Windows platform except 8.1 and Server 2012 R2.,Windows
IdpWatchdogRemediationActionTaken,,Windows
IdpWatchdogRemediationActionTakenForMemory,,Windows
DBusMessage,An event that generates telemetry that provides visibility into D-Bus messages flowing over local Unix sockets between processes. The sensor will produce events for each message and apply any relevant detections.,Linux
FirewallRuleIP4,Fields: Forensics,Forensics
InboundHttpHeader,,"Linux, macOS, Windows"
InternetExposureData,,"macOS, Linux, Windows"
SyntheticSystemdServiceCreated,,Linux
SystemdTimerDeleted,,Linux
RouteIP6,IPv6 Route entry. Fields: Forensics,Forensics
DnsServer,DNS server IP addresses. Fields: Forensics,Forensics
BrowserProxyInfo,Browser proxy information. Fields: Forensics,Forensics
SpotlightSearchEntry,Per-user spotlight search information. Fields: Forensics,Forensics
RegSystemConfigKeyUpdate,,Windows
SudoCommandAttempt,,macOS
NamedPipeDetectInfo,Named pipe detect telemetry event,Windows
NetworkEndPointDataUsage,This event has total counts of sent/received octets/packets to/from the network-attached end point during active connection. The counting window is the life of the end point. Fields: Forensics,Forensics
UsbDeviceInfo,Information on each USB device attachment. Fields: Forensics,Forensics
UserAccountRemovedFromGroup,,"Linux, Windows"
SensorEnteredSafemode,,"macOS, Linux, Falcon Container, Windows"
PtyDetached,,Linux
SystemdServiceCreated,,Linux
IdpCloudHealthCheck,,Windows
SmbServerLocalNamedPipeOpenedEtw,,Windows
OpenDirectoryAttributeSet,,macOS
OpenDirectoryAttributeRemove,,macOS
RegGenericKeyUpdate,,Windows
TerminalSavedStateInfo,MacOS terminal saved state information. Fields: Forensics,Forensics
OpenDirectoryAttributeAdd,,macOS
OpenDirectoryGroupSet,,macOS
ActiveDirectoryAuditGpoModified,,Windows
FirewallRuleIP6,Fields: Forensics,Forensics
KernelParameter,Fields: Forensics,Forensics
UserGroupCreated,,Linux
SystemdServiceDeleted,,Linux
ScheduledTaskInfo,Scheduled windows tasks. Fields: Forensics,Forensics
ProcessDataUsage,Measurements and statistics of data traffic sent and received to/from the target process. Fields: Forensics,Forensics
WSLVMStopping,The Linux Virtual Machine Root Namespace is stopping.,Windows
SyntheticSystemdTimerCreated,,"Linux, Windows"
NetShareInfo,Shared resource information. Fields: Forensics,Forensics
OsUpdateTimestamp,Operating system update timestamp. Fields: Forensics,Forensics
NetworkDnsSuffix,A network suffix name in the configured DNS suffix list. Fields: Forensics,Forensics
NetworkHostsFileEntry,A host name entry in the network hosts file. Fields: Forensics,Forensics
ActiveDirectoryAuditPasswordModificationAttempt,,Windows
ProcessSignal,,Linux
ProcessInjection,An event that indicates that a remote process wrote and executed code.,Windows
SpotlightEntitySystemState,Spotlight Entity heart-beat event to notify cloud of current state with last synced batch and Channel file version information.,"Windows, macOS, Linux"
ConfigurationProfileModified,,macOS
OpenDirectoryDeleteUser,,macOS
LogonBehaviorCompositionDetectInfo,,Windows
OpenDirectoryGroupAdd,,macOS
DnsCache,An entry observed within the system's DNS Cache. Fields: Forensics,Forensics
WindowsTimelineEntryTimestamp,Fields: Forensics,Forensics
BrowserAccountInfo,Browser user account information. Fields: Forensics,Forensics
BrowserHistoryClearInfo,Browser history clearing event information. Fields: Forensics,Forensics
ForensicsCollectorOffline,Final event of a Forensics collection. Fields: Forensics,Forensics
ForensicsCollectorOnline,Marks the beginning of a Forensics collection. Fields: Forensics,Forensics
WmiQuery,Windows Management Instrumentation (WMI) query status. Fields: Forensics,Forensics
FilesStatisticInfo,Files statistic information. Fields: Forensics,Forensics
BrowserCookieInfo,Browser tracking cookie information. Fields: Forensics,Forensics
WSLDistributionUnregistered,A user unregisters a Linux distribution.,Windows
SystemdTimerCreated,,Linux
WSLDistributionStopping,The Linux distribution is stopping.,Windows
DriverLoadBlocked,Event which indicates we successfully blocked a driver from loading.,Windows
SigningPublicKey,,"iOS, Android"
FsVolumeReadInfo,,Windows
IdpWatchdogRemediationActionRequest,,Windows
ActiveDirectoryAuditGroupModified,,Windows
ActiveDirectoryIncomingDceRpcRequest,Indicates that the Domain Controller must handle one or more incoming DCE/RPC requests from an account on an endpoint.,Windows
DcRemovableStorageDeviceConnected,,"Windows, macOS"
DcRemovableStorageDeviceDisconnected,,"Windows, macOS"
ScriptControlDotNetMetadata,Contains the last 56kb of ScriptContent from a .NET AMSI scan.,Windows
GroupAccount,Describes an observed group account. Fields: Forensics,Forensics
PrefetchFile,Prefetch or Layout file records 8 most recent execution times of a Windows application. Fields: Forensics,Forensics
BrowserHistoryVisit,Browser history hit information. Fields: Forensics,Forensics
EventTapInfo,Describes a macOS Event Tap. Event Taps allow for capturing of keyboard and mouse HID events. Fields: Forensics,Forensics
LoginItemAdded,,macOS
IdpPolicyCloudAccessRuleMatch,Fields: Public Cloud,Public Cloud
SuspiciousUserRemoteAPCAttempt,An event that indicates that a remote APC (Asynchronous Procedure Call) that is classified as potentially suspicious was queued on the target process by the context process.,Windows
SuperfetchAppInfo,Application entry from Windows Superfetch AgForegroundAppHistory.db. Fields: Forensics,Forensics
ForensicsCollectorLog,A log entry emitted by the Falcon Forensics Collector process. Fields: Forensics,Forensics
RuntimeEnvironmentVariable,"Environment Variable provided to a process; In the context of falcon forensics, this is an environment variable provided to the collector process itself. Fields: Forensics",Forensics
MftBootSector,Windows Master File Table (MFT) Boot sector. Fields: Forensics,Forensics
UserAssistAppLaunchInfo,Application launched via user-assisted GUI menu. Fields: Forensics,Forensics
IdpWatchdogRemediationActionTakenForCpu,,Windows
GetAsyncKeyStateEtwBatch,An event that indicates that an application called the GetAsyncKeyState API multiple times.,Windows
NamedPipe,Named pipe information. Fields: Forensics,Forensics
ProcessHandleTableEntry,An entry in a process handle table referencing a kernel object. Fields: Forensics,Forensics
DataEgress,Description of a data egress observed on the sensor.,"Windows, macOS"
WSLDistributionStarted,The Linux distribution starts.,Windows
FileSignatureStatistics,On-demand scan for files with name extensions and header magic values. Fields: Forensics,Forensics
WSLDistributionRegistered,A user registers a Linux distribution but hasn’t started it yet.,Windows
SuperfetchAppSchedule,Application running schedule/period recently updated from Windows Superfetch AgGlobalHistory.db. Fields: Forensics,Forensics
WSLVMStarted,The Linux Virtual Machine Root Namespace starts.,Windows
LocalGroupIdentity,"Group identity information includes user group name, GID, and names, UIDs and sid of user members. Fields: Forensics",Forensics
BrowserExtensionInfo,Browser extension/addon information. Fields: Forensics,Forensics
DcBluetoothAuthorizationStatus,,macOS
UserGroupDeleted,,Linux
GcpAsset,An event that contains GCP (Google Cloud Platform) Organization Metadata. Fields: Public Cloud,Public Cloud
GcpComputeFirewall,An event that contains GCP (Google Cloud Platform) Compute Image configuration details. Fields: Public Cloud,Public Cloud
AzureVirtualMachineState,An event that contains the machine state for any Azure virtual machine. Fields: Public Cloud,"Public Cloud, Public Cloud"
GcpComputeNetworkPeering,An event that contains GCP (Google Cloud Platform) Compute Network Peering configuration details. Fields: Public Cloud,Public Cloud
GcpComputeInstance,An event that contains GCP (Google Cloud Platform) Compute Instance configuration information. Fields: Public Cloud,Public Cloud
GcpComputeNetwork,An event that contains GCP (Google Cloud Platform) Compute Network configuration information. Fields: Public Cloud,Public Cloud
GcpComputeDisk,An event that contains GCP (Google Cloud Platform) Compute Disk Configuration details. Fields: Public Cloud,Public Cloud
GcpComputeSubnetwork,An event that contains GCP (Google Cloud Platform) Compute Subnetwork configuration details. Fields: Public Cloud,Public Cloud
AzureIpConfiguration,An event that contains a list of Azure IP configurations and attributes of the Azure IP configurations. Fields: Public Cloud,Public Cloud
AzureVirtualNetwork,An event that contains a list of the Azure virtual networks and the Azure virtual network attributes. Fields: Public Cloud,Public Cloud
GcpIamServiceAccount,An event that contains GCP (Google Cloud Platform) IAM Service Account configuration details. Fields: Public Cloud,Public Cloud
AzureSubscription,An event that contains a list of Azure subscriptions. Fields: Public Cloud,Public Cloud
AzureNetworkInterface,An event that contains a list of Azure network interfaces and the Azure network interface attributes. Fields: Public Cloud,Public Cloud
GcpComputeImage,An event that contains GCP (Google Cloud Platform) Compute Image configuration details. Fields: Public Cloud,Public Cloud
AzureResourceGroup,An event that contains a list of Azure Resource Groups. Fields: Public Cloud,Public Cloud
AzureDisk,An event that contains a list of Azure disks and their attributes. Fields: Public Cloud,Public Cloud
AzureVirtualMachine,An event that contains a list of Azure virtual machines and the Azure virtual machine attributes. Fields: Public Cloud,Public Cloud
AzureSubnet,An event that contains Azure sub-networks in the virtual network. Fields: Public Cloud,Public Cloud
AzurePublicIpAddress,An event that contains Azure public IP addresses. Fields: Public Cloud,Public Cloud
AzureNetworkSecurityGroup,An event that contains information about an Azure Network Security Group. Fields: Public Cloud,Public Cloud
AzureVirtualNetworkPeering,An event that contains a list of the Azure virtual networks and the Azure virtual network attributes. Fields: Public Cloud,Public Cloud
AzurePrivateEndpoint,An event that connects Azure Network interface to other services with private links. Fields: Public Cloud,Public Cloud
EksNodeGroup,Snapshot of an AWS EKS node group. Fields: Public Cloud,Public Cloud
EksCluster,Snapshot of an AWS EKS cluster. Fields: Public Cloud,Public Cloud
K8SDeployment,Snapshot of a deployment object in Kubernetes. Fields: Public Cloud,Public Cloud
K8SReplicaSet,Snapshot of a Replica Set object in Kubernetes. Fields: Public Cloud,Public Cloud
K8SDaemonSet,Snapshot of a Daemon Set object in Kubernetes. Fields: Public Cloud,Public Cloud
EksFargateProfile,Snapshot of an AWS EKS Fargate profile. Fields: Public Cloud,Public Cloud
IdpWatchdogConfigurationsGetResponse,,Windows
FileContentsChanged,,Linux
SruApplicationTimelineProvider,System Resource Utilization Monitor: application resource usage timeline. Fields: Forensics,Forensics
ShellBagFileTimeStampMetadata,One event is emitted per timestamp from a ShellBag registry entry. Fields: Forensics,Forensics
SyscacheEntry,An entry in windows syscache hive. Fields: Forensics,Forensics
BITSJobMetadata,"Background Intelligent Transfer Service (BITS) job metadata: times, proxy. Fields: Forensics",Forensics
RegCrowdstrikeValueUpdate,,Windows
BrowserDownloadStarted,Browser downloaded file information signifying download start time. Fields: Forensics,Forensics
BrowserDownloadEnded,Browser downloaded file information signifying download end time. Fields: Forensics,Forensics
OdsScanComplete,On-demand scan for files with name extensions and header magic values. Fields: Forensics,Forensics
AutoRunProcessInfo,Describes a process that is automatically executed. Fields: Forensics,Forensics
PeSectionInfo,Windows Portable Executable (PE) section information. Fields: Forensics,Forensics
ShellBagInfo,Windows ShellBag MRU registry entry. Fields: Forensics,Forensics
PeHeaderOptionalInfo,Portable Executable optional header information from a Windows executable. Fields: Forensics,Forensics
RemoteThreadCreate,,macOS
ActiveDirectoryAuditGroupMemberModified,,Windows
RouteIP4,IPv4 Route entry. Fields: Forensics,Forensics
PeFileWrittenDetectInfo,,Windows
MachOHeaderParsed,A MachO file was read into memory from disk and its header was parsed.,macOS
MemoryLocked,,Linux
VulnerableDriverDetectInfo,,Windows
DeliverRulesEngineResultsToCloud,,"Windows, Linux, macOS"
AtJobInfo,Windows At jobs in use. Fields: Forensics,Forensics
HttpResponse,,"Linux, macOS"
PcaAppLaunchEntry,An application launch entry in windows Program Compatibility Assistant (PCA) file PcaAppLaunchDic.txt. Fields: Forensics,Forensics
SyntheticPR2Stats,,macOS
PcaGeneralDbEntry,An application launch entry in windows Program Compatibility Assistant (PCA) database PcaGeneralDb[0-9]+.txt. Fields: Forensics,Forensics
SyntheticVirtualMemoryArea,,Linux
VirtualMemoryArea,,Linux
FileOfInterestBasicInfo,,"macOS, Windows, Linux"
FalconProcessHandleOpDetectInfo,,Windows
ScriptFileContentsDetectInfo,,Windows
DnsRequest,"When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. On Win/Lin sensor the data is deduplicated based on DomainName, IP4, IP6 and CNAME. Meaning if multiple requests are made that have responses containing different IP addresses for a single domain, they will all be visible. The sensor clears deduplication entries every 24 hrs after the first DnsRequest for the specific process is received. When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses. On Mac the data is deduplicated just on DomainName. The sensor clears deduplication entries every 24 hrs after the first DnsRequest for the specific process is received. When a process on a host generates a DNS query, the sensor waits for the response, to generate a DnsRequest that contains the queried domain and information returned in the response such as IP-addresses.","Windows, Linux, Android, macOS, iOS"
ArchiveMemberInfo,Archive member file information. Fields: Forensics,Forensics
FileSystemContainmentStatus,,Windows
SystemExtension,Describes a macOS system extension identified by the collector. Fields: Forensics,Forensics
SharedObjectLoaded,,"Linux, Linux, Falcon Container, Windows, macOS"
SignInfo,Sent by FalconForensicsCollector containing information about the signing-state of an image.,"macOS, Windows, Forensics"
MalPaths,Malicious DLL or executable image name conflicts found in different or unexpected folders. Fields: Forensics,Forensics
AppleScriptFileWritten,,"Windows, macOS, Linux"
LzfseFileWritten,,"macOS, Windows, Linux"
FileTimestampMetadata,"FileTime event is emitted per timestamp for a given file. This helps analysts build a timeline of file creation, access, and modification. Fields: Forensics",Forensics
BITSJobFileInfo,Background Intelligent Transfer Service (BITS) job file information. Fields: Forensics,Forensics
LinkFileInfo,Link file information. Fields: Forensics,Forensics
LogEntry,A log entry observed on an endpoint. Fields: Forensics,Forensics
FileEntry,"Some portion of a text file, either a single line or matched regular expression. Fields: Forensics",Forensics
PtyAttached,,Linux
PeHeaderInfo,Portable Executable header information from a Windows executable. Fields: Forensics,Forensics
EntropyScan,"File contents entropy, useful for identifying potentially malicious files. Fields: Forensics",Forensics
LSQuarantineEvent,Fields: Forensics,Forensics
PemFileWritten,,"Linux, Windows, macOS"
RecentExecutionTimestamp,Recent execution timestamp from a Forensics artifact. Fields: Forensics,Forensics
ArchiveInfo,Archive file information. Fields: Forensics,"Forensics, Forensics"
FileWrittenWithEntropyHigh,,"Windows, Linux"
MftRecord,Windows Master File Table (MFT) record. Fields: Forensics,Forensics
XzFileWritten,,"Windows, macOS, Linux"
SyntheticSharedObjectLoaded,,Linux
AmcacheEntry,Metadata related to PE execution and program installation on Windows 7 and Server 2008 R2 and above. Fields: Forensics,Forensics
MemoryAdvise,,Linux
WebShellDetected,"To identify webshell script files in a target folder, the content of each text file is matched against a large built-in list of regular expressions. Fields: Forensics",Forensics
UserEatAccessMonitoring,,Windows
ClassifiedProcessStart,,Windows
PromiscuousBindIP4,This is a reified NetworkBindIP4 indicating a socket is in promiscuous mode.,"Windows, Windows, Linux, macOS"
DcUsbDevicePolicyViolation,An event that indicates a USB device that matched a rule in a policy but was not blocked due to the rule being set to reporting mode only.,"macOS, Windows, Linux"
DcBluetoothDeviceBlocked,,macOS
DcBluetoothDevicePolicyViolation,,macOS
SruApplicationResourceUsage,System Resource Utilization Monitor: application resource usage per user. Fields: Forensics,Forensics
